2016-04-07 12:02:16.832 INFO  DefaultFactory Logging to 'C:\Git\docs.particular.net\samples\show-case\on-premise\Version_6\Store.ECommerce\App_Data\' with level Info
2016-04-07 12:02:16.964 WARN  NServiceBus.LicenseManager Trial for the Particular Service Platform has expired
2016-04-07 12:02:17.005 WARN  NServiceBus.QueueCreator Queue DESKTOP-664GDOK\private$\Store.ECommerce does not exist.
2016-04-07 12:02:17.142 WARN  NServiceBus.QueueCreator Queue DESKTOP-664GDOK\private$\Store.ECommerce.Timeouts does not exist.
2016-04-07 12:02:17.309 WARN  NServiceBus.QueueCreator Queue DESKTOP-664GDOK\private$\Store.ECommerce.TimeoutsDispatcher does not exist.
2016-04-07 12:02:17.624 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'DESKTOP-664GDOK\mat-mcloughlin' to group 'Performance Monitor Users' since process is not running with elevate privileges. Processing will continue. To manually perform this action run the following command from an admin console:
net localgroup "Performance Monitor Users" "DESKTOP-664GDOK\mat-mcloughlin" /add
2016-04-07 12:02:17.637 INFO  NServiceBus.Features.QueuePermissionChecker Queue [private$\error] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by your organization. For more information, please consult the documentation.
2016-04-07 12:02:17.642 INFO  NServiceBus.Features.QueuePermissionChecker Queue [private$\audit] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by your organization. For more information, please consult the documentation.
2016-04-07 12:02:17.650 INFO  NServiceBus.Features.QueuePermissionChecker Queue [private$\Store.ECommerce] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by your organization. For more information, please consult the documentation.
2016-04-07 12:02:17.657 INFO  NServiceBus.Features.QueuePermissionChecker Queue [private$\Store.ECommerce.Timeouts] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by your organization. For more information, please consult the documentation.
2016-04-07 12:02:17.662 INFO  NServiceBus.Features.QueuePermissionChecker Queue [private$\Store.ECommerce.TimeoutsDispatcher] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by your organization. For more information, please consult the documentation.
2016-04-07 12:03:49.649 INFO  DefaultFactory Logging to 'C:\Git\docs.particular.net\samples\show-case\on-premise\Version_6\Store.ECommerce\App_Data\' with level Info
2016-04-07 12:03:49.794 INFO  NServiceBus.LicenseManager Trial for Particular Service Platform is still active, trial expires on 21-Apr-16.
2016-04-07 12:03:50.537 INFO  NServiceBus.PerformanceMonitorUsersInstaller Did not attempt to add user 'DESKTOP-664GDOK\mat-mcloughlin' to group 'Performance Monitor Users' since process is not running with elevate privileges. Processing will continue. To manually perform this action run the following command from an admin console:
net localgroup "Performance Monitor Users" "DESKTOP-664GDOK\mat-mcloughlin" /add
2016-04-07 12:03:50.549 INFO  NServiceBus.Features.QueuePermissionChecker Queue [private$\error] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by your organization. For more information, please consult the documentation.
2016-04-07 12:03:50.555 INFO  NServiceBus.Features.QueuePermissionChecker Queue [private$\audit] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by your organization. For more information, please consult the documentation.
2016-04-07 12:03:50.565 INFO  NServiceBus.Features.QueuePermissionChecker Queue [private$\Store.ECommerce] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by your organization. For more information, please consult the documentation.
2016-04-07 12:03:50.573 INFO  NServiceBus.Features.QueuePermissionChecker Queue [private$\Store.ECommerce.Timeouts] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by your organization. For more information, please consult the documentation.
2016-04-07 12:03:50.580 INFO  NServiceBus.Features.QueuePermissionChecker Queue [private$\Store.ECommerce.TimeoutsDispatcher] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by your organization. For more information, please consult the documentation.
2016-04-07 12:04:47.863 INFO  NServiceBus.Unicast.UnicastBus Initiating shutdown.
2016-04-07 12:04:47.924 INFO  NServiceBus.Unicast.UnicastBus Shutdown complete.
