2016-04-10 17:06:09.625 INFO  DefaultFactory Logging to 'C:\Code\particular\Presentation.MultiDimensional.Good\Store.ECommerce\App_Data\' with level Info
2016-04-10 17:06:09.778 WARN  NServiceBus.RijndaelEncryptionService Encryption key is 192 bits which is less than the maximum allowed 256 bits. Consider using a 256-bit encryption key to obtain the maximum cipher strength
2016-04-10 17:06:09.785 WARN  NServiceBus.RijndaelEncryptionService Encryption key is 192 bits which is less than the maximum allowed 256 bits. Consider using a 256-bit encryption key to obtain the maximum cipher strength
2016-04-10 17:06:09.849 INFO  NServiceBus.LicenseManager Trial for Particular Service Platform is still active, trial expires on 23/04/2016.
2016-04-10 17:06:10.327 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'DESKTOP-RP8MNOE\Sean Farmar' to group 'Performance Monitor Users' because the user is already in group.
2016-04-10 17:06:10.351 WARN  NServiceBus.Features.QueuePermissions Queue [private$\error] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-04-10 17:06:10.365 WARN  NServiceBus.Features.QueuePermissions Queue [private$\audit] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-04-10 17:06:10.383 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-04-10 17:06:10.394 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-04-10 17:06:10.401 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem download the latest powershell commandlets from http://www.particular.net downloads page.
2016-04-10 17:06:10.424 WARN  NServiceBus.Features.QueuePermissions Queue [private$\Store.ECommerce] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-04-10 17:06:10.436 WARN  NServiceBus.Features.QueuePermissions Queue [private$\Store.ECommerce.Timeouts] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-04-10 17:06:10.451 WARN  NServiceBus.Features.QueuePermissions Queue [private$\Store.ECommerce.TimeoutsDispatcher] is running with [Everyone] and [NT AUTHORITY\ANONYMOUS LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2016-04-10 17:06:12.114 INFO  NServiceBus.Unicast.UnicastBus Initiating shutdown.
2016-04-10 17:06:12.137 INFO  NServiceBus.Unicast.UnicastBus Shutdown complete.
